title,author,subject,isbn,availability,borrow_count,rating,description
"1984","Orwell, George","Literature","978-0-452-28423-4","Available",556,4.8,"A dystopian social science fiction novel and cautionary tale"
"A Brief History of Time","Hawking, Stephen","Science","978-0-553-38016-3","Borrowed",524,4.7,"A book on cosmology for the general reader"
"A People's History","Zinn, Howard","History","978-0-06-083865-2","Available",620,4.6,"A different perspective on American history"
"Clean Code","Martin, Robert C.","Computer Science","978-0-13-235088-4","Available",600,4.9,"A handbook of agile software craftsmanship"
"Cosmos","Sagan, Carl","Science","978-0-345-33135-9","Available",521,4.8,"Personal voyage through our universe"
"Design Patterns","Gang of Four","Computer Science","978-0-201-63361-0","Borrowed",587,4.7,"Elements of reusable object-oriented software"
"Good to Great","Collins, Jim","Business","978-0-06-662099-2","Available",602,4.5,"Why some companies make the leap and others don't"
"Introduction to Algorithms","Cormen, Thomas H.","Computer Science","978-0-262-03384-8","Available",639,4.9,"Comprehensive introduction to algorithms"
"JavaScript: The Good Parts","Crockford, Douglas","Computer Science","978-0-596-51774-8","Borrowed",612,4.6,"Unearthing the excellence in JavaScript"
"Machine Learning Yearning","Ng, Andrew","Computer Science","978-0-999-57920-4","Available",626,4.8,"Technical strategy for AI engineers"
"Pride and Prejudice","Austen, Jane","Literature","978-0-14-143951-8","Available",609,4.7,"A romantic novel of manners"
"Python Programming","Lutz, Mark","Computer Science","978-1-449-35573-9","Available",669,4.8,"An introduction to computer science"
"Sapiens","Harari, Yuval Noah","History","978-0-06-231609-7","Borrowed",666,4.9,"A brief history of humankind"
"The Art of War","Sun Tzu","Business","978-1-599-86974-1","Available",575,4.5,"Ancient Chinese military treatise"
"The Catcher in the Rye","Salinger, J.D.","Literature","978-0-316-76948-0","Available",554,4.4,"Coming-of-age story in New York"
"The Double Helix","Watson, James","Science","978-0-743-21630-8","Borrowed",548,4.6,"Personal account of DNA discovery"
"The Great Gatsby","Fitzgerald, F. Scott","Literature","978-0-7432-7356-5","Available",660,4.8,"The Jazz Age masterpiece"
"The Guns of August","Tuchman, Barbara","History","978-0-345-47609-8","Available",570,4.7,"The outbreak of World War I"
"The Innovator's Dilemma","Christensen, Clayton","Business","978-0-87584-585-2","Available",608,4.6,"When new technologies cause great firms to fail"
"The Lean Startup","Ries, Eric","Business","978-0-307-88789-4","Borrowed",606,4.7,"How today's entrepreneurs use continuous innovation"
"The Origin of Species","Darwin, Charles","Science","978-0-14-043205-1","Available",575,4.8,"On the origin of species by means of natural selection"
